,symbol,profile
description,BEN,"Franklin Resources Inc is an investment management organization which provides investment management and related services to retail, institutional and high net-worth clients under Franklin, Templeton, Franklin Mutual Series, Franklin Bissett brand names."
exchange,BEN,New York Stock Exchange
industry,BEN,Asset Management
sector,BEN,Financial Services
website,BEN,http://www.franklinresources.com
ceo,FCX,Richard C. Adkerson
companyName,FCX,Freeport-McMoRan Inc.
description,FCX,"Freeport-McMoRan Inc is a mining company. It operates large, long-lived geographically diverse assets with reserves of copper, gold, and molybdenum. It also has mining operations in the Americas."
exchange,FCX,New York Stock Exchange
industry,FCX,Metals & Mining
sector,FCX,Basic Materials
website,FCX,http://www.fcx.com
ceo,GPS,
companyName,GPS,Gap Inc. (The)
description,GPS,"Gap Inc is a global apparel and accessories retailer. The company offers products for men, women, and children under various brands such as Gap, Banana Republic, Old Navy, Athleta, and Intermix."
exchange,GPS,New York Stock Exchange
industry,GPS,Retail - Apparel & Specialty
sector,GPS,Consumer Cyclical
website,GPS,http://www.gapinc.com
ceo,GRMN,Clifton A. Pemble
companyName,GRMN,Garmin Ltd.
description,GRMN,"Garmin Ltd designs, develops, manufactures, markets and distributes hand-held, wrist-based, portable, fixed-mount, positioning system enabled and other navigation, communication and sensor-based products."
exchange,GRMN,Nasdaq Global Select
industry,GRMN,Computer Hardware
sector,GRMN,Technology
website,GRMN,http://www.garmin.com
ceo,IT,
companyName,IT,Gartner Inc.
description,IT,"Gartner Inc is an information technology research and advisory company. It offers services to business leaders in high-tech and telecom enterprises and professional services firms, to supply chain professionals and technology investors."
exchange,IT,New York Stock Exchange
industry,IT,Application Software
sector,IT,Technology
website,IT,http://www.gartner.com
ceo,GD,Phebe N. Novakovic
companyName,GD,General Dynamics Corporation
description,GD,"General Dynamics Corp is an aerospace and defense company. It offers products and services in business aviation including combat vehicles, weapons systems and munitions, shipbuilding, and communication and information technology services and solutions."
exchange,GD,New York Stock Exchange
industry,GD,Aerospace & Defense
sector,GD,Industrials
website,GD,http://www.generaldynamics.com
ceo,GE,John L. Flannery
companyName,GE,General Electric Company
description,GE,"General Electric Co is a digital industrial company. It operates in various segments, including power and water, oil and gas, energy management, aviation, healthcare, transportation, appliances and lighting, and more."
exchange,GE,New York Stock Exchange
industry,GE,Industrial Products
sector,GE,Industrials
website,GE,http://www.ge.com
ceo,GIS,Jeffrey L. Harmening
companyName,GIS,General Mills Inc.
description,GIS,"General Mills Inc is a global manufacturer and marketer of branded consumer foods, such as ready-to-eat breakfast cereals, refrigerated dough and other baking items, snack foods, ice cream, and yogurt."
exchange,GIS,New York Stock Exchange
industry,GIS,Consumer Packaged Goods
sector,GIS,Consumer Defensive
website,GIS,http://www.generalmills.com
ceo,GM,Mary Barra
companyName,GM,General Motors Company
description,GM,"General Motors Company is an American multinational corporation. It designs, builds and sells cars, trucks and automobile parts. The company also provides automotive financing services through General Motors Financial Company, Inc."
exchange,GM,New York Stock Exchange
industry,GM,Autos
sector,GM,Consumer Cyclical
website,GM,https://www.gm.com
ceo,GPC,Paul D. Donahue
companyName,GPC,Genuine Parts Company
description,GPC,"Genuine Parts Co sells automotive parts, industrial and electrical components, and office products. The company sells bearings, power transmission, hydraulic and other products to its commercial and retail customers."
exchange,GPC,New York Stock Exchange
industry,GPC,Retail - Apparel & Specialty
sector,GPC,Consumer Cyclical
website,GPC,http://www.genpt.com
ceo,GILD,John F. Milligan
companyName,GILD,Gilead Sciences Inc.
description,GILD,"Gilead Sciences Inc is a biopharmaceutical company that discovers, develops and commercializes new medicines in areas of unmet medical need. Its products target a number of areas, such as HIV, liver diseases, cardiovascular and other diseases."
exchange,GILD,Nasdaq Global Select
industry,GILD,Biotechnology
sector,GILD,Healthcare
website,GILD,http://www.gilead.com
ceo,GPN,Jeffrey Sloan
companyName,GPN,Global Payments Inc.
description,GPN,"Global Payments Inc has interests in offering business solutions. Its primary activity includes payment solutions for merchants, value-added resellers, enterprise software providers, financial institutions and government agencies."
exchange,GPN,New York Stock Exchange
industry,GPN,Business Services
sector,GPN,Industrials
website,GPN,http://www.globalpaymentsinc.com
ceo,GS,Lloyd C. Blankfein
companyName,GS,Goldman Sachs Group Inc. (The)
description,GS,Goldman Sachs Group Inc is engaged in capital market activities. Its services primarily include investment banking operations.
exchange,GS,New York Stock Exchange
industry,GS,Brokers & Exchanges
sector,GS,Financial Services
website,GS,http://www.gs.com
ceo,GWW,Donald G. Macpherson
companyName,GWW,W.W. Grainger Inc.
description,GWW,"W.W. Grainger Inc is a broad line, a business-to-business distributor of maintenance, repair and operating (MRO) supplies and other related products and services. Its services consist of contact centers, catalogs, inventory management solution and others."
exchange,GWW,New York Stock Exchange
industry,GWW,Industrial Distribution
sector,GWW,Industrials
website,GWW,http://www.grainger.com
ceo,HAL,Jeffrey A. Miller
companyName,HAL,Halliburton Company
description,HAL,"Halliburton Co is a provider of services and products to the upstream oil and natural gas industry throughout the lifecycle of the reservoir, from locating hydrocarbons and managing geological data, to drilling and formation evaluation."
exchange,HAL,New York Stock Exchange
industry,HAL,Oil & Gas - Services
sector,HAL,Energy
website,HAL,http://www.halliburton.com
ceo,HBI,Gerald Evans
companyName,HBI,Hanesbrands Inc.
description,HBI,"Hanesbrands Inc designs, manufactures, sources and sells apparel essentials such as t-shirts, innerwear, casualwear, activewear, socks and hosiery. It markets its products under the brand names of Hanes, Champion, and Maidenform."
exchange,HBI,New York Stock Exchange
industry,HBI,Manufacturing - Apparel & Furniture
sector,HBI,Consumer Cyclical
website,HBI,http://www.hanes.com/corporate
ceo,HOG,Matthew S. Levatich
companyName,HOG,Harley-Davidson Inc.
description,HOG,"Harley-Davidson Inc produces and sells heavyweight motorcycles, as well as offers motorcycle parts, accessories, and related services. It operates in two segments, Motorcycles and Related Products, and Financial Services."
exchange,HOG,New York Stock Exchange
industry,HOG,Autos
sector,HOG,Consumer Cyclical
website,HOG,http://www.harley-davidson.com
ceo,HIG,Christopher J. Swift
companyName,HIG,Hartford Financial Services Group Inc. (The)
description,HIG,Hartford Financial Services Group Inc provides insurance and financial services to individual and business customers in the United States.
exchange,HIG,New York Stock Exchange
industry,HIG,Insurance
sector,HIG,Financial Services
website,HIG,http://www.thehartford.com
ceo,HAS,Brian D. Goldner
companyName,HAS,Hasbro Inc.
description,HAS,"Hasbro Inc provides children and family leisure time and entertainment products and services which includes manufacturing and marketing of games and toys. It reaches customers by leveraging its well-known brands such as Transformers, Monopoly, and Nerf."
exchange,HAS,Nasdaq Global Select
industry,HAS,Travel & Leisure
sector,HAS,Consumer Cyclical
website,HAS,http://www.hasbro.com
ceo,HCA,R. Milton Johnson
companyName,HCA,HCA Healthcare Inc.
description,HCA,"HCA Healthcare Inc is a health care services company. It operates general acute care hospitals, psychiatric hospitals, and rehabilitation hospitals. The company also operates freestanding surgery centers."
exchange,HCA,New York Stock Exchange
industry,HCA,Health Care Providers
sector,HCA,Healthcare
website,HCA,http://www.hcahealthcare.com
ceo,HP,John W. Lindsay
companyName,HP,Helmerich & Payne Inc.
description,HP,"Helmerich & Payne Inc is engaged in contract drilling of oil and gas wells for oil and gas exploration and production companies. Its business comprises of three reportable segments, U.S. Land, Offshore and International Land."
exchange,HP,New York Stock Exchange
industry,HP,Oil & Gas - Drilling
sector,HP,Energy
website,HP,http://www.hpinc.com
ceo,HSIC,Stanley M. Bergman
companyName,HSIC,Henry Schein Inc.
description,HSIC,"Henry Schein Inc is a provider of healthcare products and services to office-based dental, animal health and medical practitioners. The company also serves dental laboratories, government and institutional health care clinics."
exchange,HSIC,Nasdaq Global Select
industry,HSIC,Medical Distribution
sector,HSIC,Healthcare
website,HSIC,http://www.henryschein.com
ceo,HSY,Michele G. Buck
companyName,HSY,The Hershey Company
description,HSY,"The Hershey Co operates as a confectionery manufacturer in the United States engaged in the chocolate industry. The firm has more than 80 brands, including Hershey's, Reese's, Kit Kat, Twizzlers, and Ice Breakers with a business presence across the world."
exchange,HSY,New York Stock Exchange
industry,HSY,Consumer Packaged Goods
sector,HSY,Consumer Defensive
website,HSY,http://www.thehersheycompany.com
ceo,HES,John B. Hess
companyName,HES,Hess Corporation
description,HES,"Hess Corp is an oil and gas company involved in the exploration, development, production, transportation, purchase and sale of crude oil, natural gas liquids, and natural gas with production operations."
exchange,HES,New York Stock Exchange
